neighbourhood,host_is_superhost,num_listings,percentage_host_verified,avg_host_response_time,avg_host_response_rate,avg_host_acceptance_rate,max_nights,min_nights,percentage_instant_bookable,overall_review_rating,overall_accuracy_rating,overall_cleanliness_rating,overall_communication_rating,overall_value_rating
"XIII Aurelia",t,316,91.4557,5,0.7215,0.9177,475.4937,2.7373,0.0000,92.1582,9.3576,9.2975,9.4146,9.2215
"XIII Aurelia",f,610,74.2623,58,0.4918,0.5246,3521065.2295,5.5246,0.0000,74.0705,7.5656,7.4541,7.6836,7.3410
