neighbourhood,host_is_superhost,instant_bookable,num_listings
"XIII Aurelia",t,"t",113
"XIII Aurelia",f,"t",79
"XIII Aurelia",t,"f",56
"XIII Aurelia",f,"f",33
"XIII Aurelia",,"t",2
"XIII Aurelia",,"f",1
