neighbourhood,host_is_superhost,num_listings,percentage_host_verified,percentage_host_has_pic,avg_host_response_time,avg_host_response_rate,avg_host_acceptance_rate,max_nights,min_nights,percentage_instant_bookable,overall_review_rating,overall_accuracy_rating,overall_cleanliness_rating,overall_communication_rating,overall_checkin_rating,overall_value_rating
"XIII Aurelia",t,169,96.4497,100.0000,0.5917,0.7278,0.9527,470.4734,2.1538,0.0000,97.0000,9.8107,9.7515,9.8698,9.8462,9.6627
"XIII Aurelia",f,112,92.8571,100.0000,7.1429,0.6518,0.8571,19174521.1964,5.9821,0.0000,93.5179,9.5536,9.3393,9.6875,9.7143,9.2143
