listing_id,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,,,,,,,,,,,
8793258,"[Dishwasher"""," ""Lockbox"""," ""Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Hangers"""," ""Iron"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Private entrance"""," ""Cooking basics"""," ""Wifi"""," ""Shower gel"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""TV"""," ""Patio or balcony"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Oven"""," ""Elevator"""," ""Shampoo"""," ""Essentials"""," ""Bed linens""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6816898,"[Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Private entrance"""," ""Cooking basics"""," ""Host greets you"""," ""Wifi"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""Garden or backyard"""," ""Crib"""," ""TV"""," ""Patio or balcony"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Extra pillows and blankets"""," ""Shampoo"""," ""Bed linens"""," ""Essentials"""," ""First aid kit"""," ""Carbon monoxide alarm""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11788438,"[Dishwasher"""," ""Pack u2019n Play/travel crib"""," ""Washer"""," ""Self check-in"""," ""Fire extinguisher"""," ""Iron"""," ""Wifi"""," ""Hair dryer"""," ""Childrenu2019s books and toys"""," ""Heating"""," ""High chair"""," ""TV"""," ""Full kitchen"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Free street parking"""," ""Free parking on premises"""," ""Bathroom essentials"""," ""Elevator"""," ""Dryer"""," ""Carbon monoxide alarm"""," ""Bedroom comforts""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215865,"[Pack u2019n Play/travel crib"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Private entrance"""," ""Cooking basics"""," ""Host greets you"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Washer u2013u00a0In unit"""," ""Pocket wifi"""," ""Heating"""," ""Crib"""," ""Baking sheet"""," ""Freezer"""," ""TV"""," ""Patio or balcony"""," ""Hot water"""," ""Free street parking"""," ""Ceiling fan"""," ""Nespresso machine"""," ""Extra pillows and blankets"""," ""Oven"""," ""Shampoo"""," ""Essentials"""," ""First aid kit"""," ""Bed linens""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21538375,"[Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Private entrance"""," ""Cooking basics"""," ""Host greets you"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""Garden or backyard"""," ""TV"""," ""Patio or balcony"""," ""Air conditioning"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Free parking on premises"""," ""Extra pillows and blankets"""," ""Oven"""," ""Single level home"""," ""Essentials"""," ""First aid kit""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23845769,"[Dishwasher"""," ""Pack u2019n Play/travel crib"""," ""Washer"""," ""Self check-in"""," ""Fire extinguisher"""," ""Iron"""," ""Bathtub"""," ""Wifi"""," ""Hair dryer"""," ""Childrenu2019s books and toys"""," ""Kitchen"""," ""Heating"""," ""High chair"""," ""TV"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Free street parking"""," ""Bathroom essentials"""," ""Elevator"""," ""Carbon monoxide alarm"""," ""Room-darkening shades"""," ""Bedroom comforts""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11861319,"[Dishwasher"""," ""Paid parking off premises"""," ""Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Luggage dropoff allowed"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Cooking basics"""," ""Bathtub"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Childrenu2019s books and toys"""," ""Kitchen"""," ""Heating"""," ""Hot tub"""," ""TV"""," ""Patio or balcony"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Oven"""," ""Extra pillows and blankets"""," ""Shampoo"""," ""Essentials"""," ""First aid kit"""," ""Carbon monoxide alarm""]""",,,,,,,,,,,,,,,,,,,,,,,,
3107379,"[Dishwasher"""," ""Paid parking off premises"""," ""Pack u2019n Play/travel crib"""," ""Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""TV"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Oven"""," ""Extra pillows and blankets"""," ""Shampoo"""," ""Single level home"""," ""Essentials"""," ""First aid kit"""," ""Bed linens""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
3988787,"[Dishwasher"""," ""Paid parking off premises"""," ""Pack u2019n Play/travel crib"""," ""Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Carbon monoxide alarm"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Babysitter recommendations"""," ""Table corner guards"""," ""Childrenu2019s books and toys"""," ""Kitchen"""," ""Heating"""," ""Crib"""," ""High chair"""," ""TV"""," ""Patio or balcony"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Extra pillows and blankets"""," ""Cable TV"""," ""Oven"""," ""Shampoo"""," ""Elevator"""," ""Single level home"""," ""Essentials"""," ""First aid kit"""," ""Bed linens"""," ""Room-darkening shades""]""",,,,,,,,,,,,,,,,,
831199,"[Dishwasher"""," ""Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Building staff"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Cooking basics"""," ""Wifi"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""TV"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Oven"""," ""Elevator"""," ""Dryer"""," ""Shampoo"""," ""Essentials"""," ""First aid kit"""," ""Paid parking on premises"""," ""Carbon monoxide alarm""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8399506,"[Hot water"""," ""Free parking on premises"""," ""Dishes and silverware"""," ""Shampoo"""," ""TV"""," ""Dedicated workspace"""," ""Host greets you"""," ""Fire extinguisher"""," ""Cooking basics"""," ""Wifi"""," ""Essentials"""," ""Hair dryer"""," ""Smoke alarm"""," ""Air conditioning"""," ""Long term stays allowed"""," ""Hangers"""," ""Iron"""," ""Carbon monoxide alarm"""," ""Kitchen"""," ""Heating""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15529126,"[Dishwasher"""," ""Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Childrenu2019s dinnerware"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""TV"""," ""Patio or balcony"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Free parking on premises"""," ""Extra pillows and blankets"""," ""Cable TV"""," ""Oven"""," ""Shampoo"""," ""Elevator"""," ""Bed linens"""," ""Essentials"""," ""First aid kit"""," ""Carbon monoxide alarm""]""",,,,,,,,,,,,,,,,,,,,,,,,
5259156,"[Dishwasher"""," ""Pack u2019n Play/travel crib"""," ""Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Ethernet connection"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Private entrance"""," ""Cooking basics"""," ""Host greets you"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Table corner guards"""," ""Childrenu2019s books and toys"""," ""Smart lock"""," ""Kitchen"""," ""Heating"""," ""Garden or backyard"""," ""Crib"""," ""High chair"""," ""TV"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Cable TV"""," ""Shampoo"""," ""Bidet"""," ""Bed linens"""," ""Single level home"""," ""Essentials"""," ""First aid kit"""," ""Carbon monoxide alarm"""," ""Room-darkening shades""]""",,,,,,,,,,,,,,,,,,
9546462,"[Dishwasher"""," ""Paid parking off premises"""," ""Pack u2019n Play/travel crib"""," ""Washer"""," ""Dedicated workspace"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Luggage dropoff allowed"""," ""Carbon monoxide alarm"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Cooking basics"""," ""Bathtub"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""Crib"""," ""High chair"""," ""TV"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Oven"""," ""Shampoo"""," ""Essentials"""," ""First aid kit"""," ""Bed linens""]""",,,,,,,,,,,,,,,,,,,,,,,,,
5317064,"[Washer"""," ""Dedicated workspace"""," ""Fire extinguisher"""," ""EV charger"""," ""Hangers"""," ""Iron"""," ""Luggage dropoff allowed"""," ""Portable fans"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Shower gel"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""Cleaning before checkout"""," ""Crib"""," ""Baking sheet"""," ""Freezer"""," ""Patio or balcony"""," ""Smoke alarm"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Extra pillows and blankets"""," ""Oven"""," ""Elevator"""," ""Shampoo"""," ""Bed linens"""," ""Single level home"""," ""Essentials"""," ""First aid kit"""," ""Paid parking on premises"""," ""Carbon monoxide alarm""]""",,,,,,,,,,,,,,,,,,,,,,
19184756,"[Paid parking off premises"""," ""Bathroom essentials"""," ""Bedroom comforts"""," ""Washer"""," ""Self check-in"""," ""TV"""," ""Fire extinguisher"""," ""Wifi"""," ""Hair dryer"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Iron"""," ""Carbon monoxide alarm"""," ""Kitchen"""," ""Free street parking"""," ""Heating""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9012561,"[Dishes and silverware"""," ""Elevator"""," ""Extra pillows and blankets"""," ""First aid kit"""," ""Bed linens"""," ""Microwave"""," ""Single level home"""," ""Cooking basics"""," ""Wifi"""," ""Essentials"""," ""Stove"""," ""Hangers"""," ""Air conditioning"""," ""Hair dryer"""," ""Fire extinguisher"""," ""Hot water"""," ""Refrigerator"""," ""Kitchen"""," ""Free street parking"""," ""Heating""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8299428,"[Paid parking off premises"""," ""Self check-in"""," ""Washer"""," ""Fire extinguisher"""," ""Iron"""," ""Pets allowed"""," ""Childrenu2019s dinnerware"""," ""Wifi"""," ""Hair dryer"""," ""Heating"""," ""TV"""," ""Full kitchen"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Free street parking"""," ""Free parking on premises"""," ""Bathroom essentials"""," ""Carbon monoxide alarm"""," ""Room-darkening shades"""," ""Bedroom comforts""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13540708,"[Dishwasher"""," ""Paid parking off premises"""," ""Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Luggage dropoff allowed"""," ""Ethernet connection"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Childrenu2019s dinnerware"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Childrenu2019s books and toys"""," ""Kitchen"""," ""Heating"""," ""Garden or backyard"""," ""High chair"""," ""TV"""," ""Patio or balcony"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Free parking on premises"""," ""Oven"""," ""Bed linens"""," ""Single level home"""," ""Essentials"""," ""First aid kit"""," ""Paid parking on premises"""," ""Carbon monoxide alarm""]""",,,,,,,,,,,,,,,,,,,,
8057649,"[Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Luggage dropoff allowed"""," ""Ethernet connection"""," ""Building staff"""," ""Refrigerator"""," ""Carbon monoxide alarm"""," ""Dishes and silverware"""," ""Cooking basics"""," ""Bathtub"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Childrenu2019s books and toys"""," ""Kitchen"""," ""Pocket wifi"""," ""Heating"""," ""Garden or backyard"""," ""TV"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Free parking on premises"""," ""Oven"""," ""Extra pillows and blankets"""," ""Shampoo"""," ""Single level home"""," ""Essentials"""," ""First aid kit"""," ""Bed linens"""," ""Room-darkening shades""]""",,,,,,,,,,,,,,,,,,,,,,
3133261,"[Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Hangers"""," ""Iron"""," ""Luggage dropoff allowed"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""TV"""," ""Hot water"""," ""Free street parking"""," ""Elevator"""," ""Shampoo"""," ""Essentials"""," ""Bed linens""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5181120,"[Dishes and silverware"""," ""Oven"""," ""Shampoo"""," ""TV"""," ""Host greets you"""," ""Long term stays allowed"""," ""Fire extinguisher"""," ""Wifi"""," ""Essentials"""," ""Hair dryer"""," ""Smoke alarm"""," ""Air conditioning"""," ""First aid kit"""," ""Hot water"""," ""Iron"""," ""Kitchen"""," ""Refrigerator"""," ""Heating""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13599142,"[Extra pillows and blankets"""," ""Lockbox"""," ""TV"""," ""Fire extinguisher"""," ""Long term stays allowed"""," ""Hangers"""," ""Essentials"""," ""Hair dryer"""," ""Wifi"""," ""Air conditioning"""," ""First aid kit"""," ""Hot water"""," ""Bed linens"""," ""Kitchen"""," ""Heating""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4234075,"[Pack u2019n Play/travel crib"""," ""Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Hangers"""," ""Iron"""," ""Luggage dropoff allowed"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Wifi"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""Crib"""," ""TV"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Cable TV"""," ""Oven"""," ""Elevator"""," ""Shampoo"""," ""Essentials"""," ""First aid kit""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590418,"[Pack u2019n Play/travel crib"""," ""Lockbox"""," ""Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Carbon monoxide alarm"""," ""Ethernet connection"""," ""Luggage dropoff allowed"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Bread maker"""," ""Childrenu2019s dinnerware"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Shower gel"""," ""Hair dryer"""," ""Babysitter recommendations"""," ""Table corner guards"""," ""Childrenu2019s books and toys"""," ""Kitchen"""," ""Heating"""," ""TV"""," ""Patio or balcony"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Free parking on premises"""," ""Extra pillows and blankets"""," ""Shampoo"""," ""Single level home"""," ""Essentials"""," ""First aid kit"""," ""Bed linens"""," ""Room-darkening shades""]""",,,,,,,,,,,,,,,,,,,
11193196,"[Dishwasher"""," ""Paid parking off premises"""," ""Pack u2019n Play/travel crib"""," ""Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Building staff"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Private entrance"""," ""Childrenu2019s dinnerware"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""Crib"""," ""High chair"""," ""TV"""," ""Patio or balcony"""," ""Smoke alarm"""," ""Air conditioning"""," ""Baby bath"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Extra pillows and blankets"""," ""Oven"""," ""Elevator"""," ""Shampoo"""," ""Bed linens"""," ""Single level home"""," ""Essentials"""," ""First aid kit"""," ""Carbon monoxide alarm""]""",,,,,,,,,,,,,,,,,,,
72042,"[Dishwasher"""," ""Washer"""," ""Dedicated workspace"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""TV"""," ""Patio or balcony"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Oven"""," ""Elevator"""," ""Shampoo"""," ""Single level home"""," ""Essentials"""," ""First aid kit""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12220711,"[Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""High chair"""," ""TV"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Extra pillows and blankets"""," ""Oven"""," ""Shampoo"""," ""Bed linens"""," ""Single level home"""," ""Essentials"""," ""First aid kit"""," ""Carbon monoxide alarm""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738926,"[Dishwasher"""," ""Pack u2019n Play/travel crib"""," ""Washer"""," ""Dedicated workspace"""," ""Hangers"""," ""Iron"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""Crib"""," ""High chair"""," ""TV"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Extra pillows and blankets"""," ""Oven"""," ""Shampoo"""," ""Single level home"""," ""Essentials"""," ""Bed linens"""," ""Room-darkening shades""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20062692,"[Window guards"""," ""Fire extinguisher"""," ""Iron"""," ""Pets allowed"""," ""Wifi"""," ""Hair dryer"""," ""Childrenu2019s books and toys"""," ""Heating"""," ""Garden or backyard"""," ""Crib"""," ""Suitable for events"""," ""TV"""," ""Baby safety gates"""," ""Outlet covers"""," ""Full kitchen"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Bathroom essentials"""," ""Carbon monoxide alarm"""," ""Room-darkening shades"""," ""Bedroom comforts""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11738302,"[Washer"""," ""Dedicated workspace"""," ""Window guards"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Carbon monoxide alarm"""," ""Building staff"""," ""Refrigerator"""," ""Mini fridge"""," ""Dishes and silverware"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""Crib"""," ""TV"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Ceiling fan"""," ""Extra pillows and blankets"""," ""Elevator"""," ""Shampoo"""," ""Essentials"""," ""First aid kit"""," ""Bed linens"""," ""Room-darkening shades""]""",,,,,,,,,,,,,,,,,,,,,,,,,
12998982,"[Paid parking off premises"""," ""Pack u2019n Play/travel crib"""," ""Dedicated workspace"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Dishes and silverware"""," ""Host greets you"""," ""Wifi"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""High chair"""," ""TV"""," ""Air conditioning"""," ""Coffee maker"""," ""Long term stays allowed"""," ""Hot water"""," ""Free street parking"""," ""Elevator"""," ""Essentials"""," ""First aid kit""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6670787,"[Pack u2019n Play/travel crib"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Cooking basics"""," ""Childrenu2019s dinnerware"""," ""Wifi"""," ""Stove"""," ""Shower gel"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""TV"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Extra pillows and blankets"""," ""Oven"""," ""Elevator"""," ""Shampoo"""," ""Essentials"""," ""First aid kit"""," ""Bed linens""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4798781,"[Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""Garden or backyard"""," ""Crib"""," ""High chair"""," ""TV"""," ""Patio or balcony"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Extra pillows and blankets"""," ""Shampoo"""," ""Bed linens"""," ""Single level home"""," ""Essentials"""," ""First aid kit"""," ""Paid parking on premises"""," ""Carbon monoxide alarm""]""",,,,,,,,,,,,,,,,,,,,,,,,,,
16129857,"[Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Hangers"""," ""Iron"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""TV"""," ""Patio or balcony"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Extra pillows and blankets"""," ""Oven"""," ""Shampoo"""," ""Essentials"""," ""Bed linens""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5466190,"[Washer"""," ""Dedicated workspace"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Breakfast"""," ""Heating"""," ""TV"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Extra pillows and blankets"""," ""Oven"""," ""Elevator"""," ""Shampoo"""," ""Bed linens"""," ""Single level home"""," ""Essentials"""," ""First aid kit"""," ""Carbon monoxide alarm""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758234,"[Pack u2019n Play/travel crib"""," ""Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Childrenu2019s books and toys"""," ""Kitchen"""," ""Heating"""," ""Crib"""," ""High chair"""," ""Hot tub"""," ""TV"""," ""Patio or balcony"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Oven"""," ""Elevator"""," ""Shampoo"""," ""Essentials"""," ""First aid kit"""," ""Paid parking on premises"""," ""Carbon monoxide alarm""]""",,,,,,,,,,,,,,,,,,,,,,,,
17265638,"[Dishwasher"""," ""Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Building staff"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""Crib"""," ""TV"""," ""Patio or balcony"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Oven"""," ""Shampoo"""," ""Essentials"""," ""First aid kit"""," ""Carbon monoxide alarm""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19203889,"[Washer"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""TV"""," ""Patio or balcony"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Elevator"""," ""Shampoo"""," ""Essentials"""," ""First aid kit"""," ""Paid parking on premises""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7465551,"[Dedicated workspace"""," ""Microwave"""," ""Hangers"""," ""Iron"""," ""Luggage dropoff allowed"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Cooking basics"""," ""Wifi"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""TV"""," ""Smoke alarm"""," ""Air conditioning"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Elevator"""," ""Shampoo"""," ""Essentials"""," ""First aid kit"""," ""Paid parking on premises"""," ""Carbon monoxide alarm""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
