listing_id,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,amenities,,,,,,,,,,,
7653833,"[Hot water"""," ""Nespresso machine"""," ""Dishes and silverware"""," ""Shampoo"""," ""Freezer"""," ""TV"""," ""Patio or balcony"""," ""Private entrance"""," ""Wifi"""," ""Essentials"""," ""Shower gel"""," ""Hair dryer"""," ""Air conditioning"""," ""Hangers"""," ""Bed linens"""," ""Smart lock"""," ""Kitchen"""," ""Refrigerator"""," ""Heating""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263210,"[Washer"""," ""Dedicated workspace"""," ""Window guards"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Luggage dropoff allowed"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Childrenu2019s dinnerware"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Childrenu2019s books and toys"""," ""Kitchen"""," ""Heating"""," ""Crib"""," ""TV"""," ""Patio or balcony"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Free parking on premises"""," ""Extra pillows and blankets"""," ""Cable TV"""," ""Dryer"""," ""Shampoo"""," ""Oven"""," ""Bed linens"""," ""Elevator"""," ""Essentials"""," ""First aid kit"""," ""Carbon monoxide alarm"""," ""Room-darkening shades""]""",,,,,,,,,,,,,,,,,,,,,
4338993,"[Dishwasher"""," ""Washer"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Luggage dropoff allowed"""," ""Ethernet connection"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""Crib"""," ""TV"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Cable TV"""," ""Oven"""," ""Dryer"""," ""Shampoo"""," ""Single level home"""," ""Essentials"""," ""First aid kit"""," ""Bed linens""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,
6289290,"[Paid parking off premises"""," ""Body soap"""," ""Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Carbon monoxide alarm"""," ""Luggage dropoff allowed"""," ""Building staff"""," ""Refrigerator"""," ""Mini fridge"""," ""Dishes and silverware"""," ""Private entrance"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Shower gel"""," ""Hair dryer"""," ""Babysitter recommendations"""," ""Hot water kettle"""," ""Kitchen"""," ""Heating"""," ""Garden or backyard"""," ""Outdoor furniture"""," ""Crib"""," ""Baking sheet"""," ""High chair"""," ""TV"""," ""Patio or balcony"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Extra pillows and blankets"""," ""Cable TV"""," ""Oven"""," ""Shampoo"""," ""Bidet"""," ""Single level home"""," ""Essentials"""," ""First aid kit"""," ""Bed linens"""," ""Room-darkening shades""]""",,,,,,,,,,,,
2765445,"[Elevator"""," ""Shampoo"""," ""Washer"""," ""TV"""," ""Host greets you"""," ""Fire extinguisher"""," ""Wifi"""," ""Essentials"""," ""Air conditioning"""," ""First aid kit"""," ""Long term stays allowed"""," ""Carbon monoxide alarm"""," ""Kitchen"""," ""Heating""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6069504,"[Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Host greets you"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Shower gel"""," ""Hair dryer"""," ""Babysitter recommendations"""," ""Kitchen"""," ""Heating"""," ""Crib"""," ""High chair"""," ""Indoor fireplace"""," ""TV"""," ""Patio or balcony"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Extra pillows and blankets"""," ""Oven"""," ""Elevator"""," ""Shampoo"""," ""Single level home"""," ""Essentials"""," ""Changing table"""," ""First aid kit"""," ""Bed linens""]""",,,,,,,,,,,,,,,,,,,,,,,,
11541751,"[Paid parking off premises"""," ""Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Fire extinguisher"""," ""Hangers"""," ""Iron"""," ""Luggage dropoff allowed"""," ""Building staff"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Private entrance"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Shower gel"""," ""Hair dryer"""," ""Babysitter recommendations"""," ""Kitchen"""," ""Heating"""," ""Crib"""," ""High chair"""," ""TV"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Extra pillows and blankets"""," ""Cable TV"""," ""Oven"""," ""Shampoo"""," ""Bed linens"""," ""Essentials"""," ""First aid kit"""," ""Carbon monoxide alarm"""," ""Room-darkening shades""]""",,,,,,,,,,,,,,,,,,,,,
2829968,"[Elevator"""," ""Shampoo"""," ""Washer"""," ""TV"""," ""Fire extinguisher"""," ""Wifi"""," ""Essentials"""," ""Air conditioning"""," ""First aid kit"""," ""Long term stays allowed"""," ""Iron"""," ""Kitchen"""," ""Heating""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12372187,"[Dishwasher"""," ""Pack u2019n Play/travel crib"""," ""Lockbox"""," ""Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Hangers"""," ""Iron"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Kitchen"""," ""Heating"""," ""Cleaning before checkout"""," ""Crib"""," ""High chair"""," ""TV"""," ""Patio or balcony"""," ""Smoke alarm"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free street parking"""," ""Extra pillows and blankets"""," ""Oven"""," ""Shampoo"""," ""Bed linens"""," ""Single level home"""," ""Essentials"""," ""Carbon monoxide alarm""]""",,,,,,,,,,,,,,,,,,,,,,,,,
730072,"[Pack u2019n Play/travel crib"""," ""Washer"""," ""Dedicated workspace"""," ""Microwave"""," ""Hangers"""," ""Iron"""," ""Luggage dropoff allowed"""," ""Building staff"""," ""Refrigerator"""," ""Dishes and silverware"""," ""Cooking basics"""," ""Wifi"""," ""Stove"""," ""Hair dryer"""," ""Childrenu2019s books and toys"""," ""Kitchen"""," ""Heating"""," ""Garden or backyard"""," ""Crib"""," ""TV"""," ""Patio or balcony"""," ""Air conditioning"""," ""Coffee maker"""," ""Hot water"""," ""Long term stays allowed"""," ""Free parking on premises"""," ""Oven"""," ""Shampoo"""," ""Essentials""]""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
